@RELATION golfdata.csv

@ATTRIBUTE name	{HarrisonFrazar,DavisLoveIII,FrankLickliter,BrinyBaird,JerryKelly,JohnRiegger,StephenAmes,CraigBarlow,PaulAzinger,RetiefGoosen,JohnHuston,VijaySingh,OmarUresti,AaronBaddeley,CraigBowden,BrendenPappas,JesperParnevik,BoVanPelt,MichaelAllen,LukeDonald,JoeDurant,CarlosFranco,ShaunMicheel,CoreyPavin,ChrisRiley,StephenAllan,CameronBeckman,RobertGamez,CharlesHowellIII,JonathanByrd,BenCrane,MarkHensby,TimHerron,PatPerez,D.J.Brigman,BartBryant,FredFunk,BrianGay,DuffyWaldorf,TommyArmourIII,PatBates,JasonDufner,BrentGeiberger,JohnMaginnes,ShigekiMaruyama,KevinNa,OlinBrowne,RussCochran,PeterJacobsen,TedPurdy,HidetoTanihara,TjaartvanderWalt,DannyBriggs,JonathanKaye,KenichiKuboya,RodPampling,AndreStolz,BobBurns,KenDuke,DavidIshii,TomLehman,ScottSimpson,ArjunAtwal,WoodyAustin,JasonBohn,ToddFischer,LucasGlover,RichardS.Johnson,BobbyKalinowski,BradLardon,JoeOgilvie,RyanPalmer,JohnSenden,HidemichiTanaka,JeffBrehaut,HeathSlocum,LorenRoberts,TomCarter,JeffMaggert,StuartAppleby,ChadCampbell,JimFuryk,CraigPerks,KennyPerry,BrettQuigley,GrantWaite,GeneSauers,DarrenClarke,MichelleWie,DavidMorlandIV,BoydSummerhays,DeanWilson,DanielChopra,RichBarcelo,BenCurtis,JohnCook,ScottHoch,TomPernice_Jr,EstebanToledo,TrippIsenhour,BrianKortan,RogerTambellini,DavidBranshaw,KrisCox,ZachJohnson,RonCastillo_Jr,SteveFlesch,DavidPeoples,SpikeMcRoy,GregMeyer,VaughnTaylor,ChrisCouch,NotahBegayIII,ChrisSmith,CraigStadler,TimPetrovic,HunterMahan,DanOlsen,AdamScott,RolandThatcher,SkipKendall,MattKuchar,JeffSluman,BlaineMcCallister,WesShort,BrianBateman,PatrickSheehan,J.P.Hayes,KevinHayashi,TetsujiHiratsuka,ToddHamilton,HirofumiMiyase,YusakuMiyazato,JohnMorse,KevinMuncrief,ScottHend,CarlPettersson,JonathanOta,MyungJunPark,GuyBoros,TomByrum,DaveEichelberger,PhilMickelson,JayHaas,BernhardLanger,KentJones,J.L.Lewis,KirkTriplett,RoccoMediate,MarkOMeara,GeoffOgilvy,ScottVerplank,DannyEllis,JustinLeonard,JohnDaly,LeeJanzen,StephenLeaney,RobertDamron,BobEstes,StevePate,MikeWeir,BillyAndrade,PaulStankowski,MarcoDawson,FredrikJacobson,StewartCink,NealLancaster,ScottMcCarron,SteveElkington,DonnieHammond,KevinSutherland,MarkCalcavecchia,MathiasGronberg,Per-UlrikJohansson,J.J.Henry,SteveLowery,GlenHnatiuk,IanLeggatt,PatrickMoore,JayWilliamson,DanForsman,JayDelsing,KeithFergus,MattGogel,MarkBrooks,DudleyHart,BillyMayfair,BrandtJobe,RichBeem,GlenDay,ChrisDiMarco,SteveStricker,HalSutton,JoeySindelar,DavidGossett,CliffKresge,GeoffreyDean,EdFiori,MichaelBeard,MarkHayes,SergioGarcia,RobertAllenby,RickyBarnes,AlexCejka,BobTway,JimCarter,ArronOberholser,JohnRollins,K.J.Choi,FredCouples,TimClark,RorySabbatini,PaulCasey,NiclasFasth,HankKuehne,StevenTate,BillGlasson,DonYrene,GusCable,TonyRohlik,BrettUpper,PhillipPrice,WillieWood,JayDonBlake,GregChalmers,DavidEdwards,SteveFriesen,MarkWilson,JoelKribel,DavidSutherland,KevinStadler,DennisPaulson,TrevorDodds,DeanePappas,CaseyMartin,ScottGutschewski,AaronBarber,StanUtley,JasonGore,MikeHulbert,LarryMize,BryceMolder,JohnE.Morgan,TagRidings,NickWatney,BrianWatts,BradFaxon,JoseMariaOlazabal,TommyTolles,KrisMoe,MikeSpringer,MichaelClarkII,MarkWiebe,PaulMcGinley,JimMcGovern,RobinFreeman,MikeGrob,ToddBarranger,RobertHamilton,D.A.Points,KevinStreelman,BrianHenninger,MikeStandly,KeithClearwater,JohnEllis,KellyGibson,MikeHeinen,DavidLebeck,JinPark,DickyPride,DaveStockton_Jr,KenGreen,ShawnKelly,GeorgeBurns,GarrettWillis,RogerMaltbie,RickLeibovich,ThomasBjorn,TigerWoods,KeiichiroFukabori,LeeWestwood,ChrisHeinz,RonSkayhan,DavidSchnider,PaulHoltby,TimParun,MikeLavery,J.B.Sneve,DavidOh,JustinRose,DavidToms,PeterLonard,AngelCabrera,DavidBerganio_Jr,EduardoRomero,NickPrice,ScottHeyn,FultonAllem,DaisukeMaruyama,DavidFrost,DannyEdwards,DonPooley,TedTryba,JohnDouma,SeanMurphy,ChrisNallen,ScottHarrington,CarlPaulson,BenoitBeisser,CraigParry,JoseCoceres,ErikCompton,SvenStruver,BobFord,SteveBurns,AlanMorin,TatsuakiNakamura,DeanProwse,BobHeintz,ToddGleaton,AndyMorse,RamonBescansa,LeeRinker,LenMattiace,JohnBungert,TrevorImmelman,TomWatson,NickFaldo,ErnieEls,PatrickDamron,NickFlanagan,IanPoulter,DeanA.Wilson,ArnoldPalmer,PadraigHarrington,ColinMontgomerie,GregNorman,PaulLawrie,BrianDavis,FranklinLangham,KevinDurkin,TimWeinhart,NickCassini,DavidNoll,CraigStevens,BrianDixon,CaseyWittenberg,SandyLyle,BrandtSnedeker,MichaelCampbell,BenCrenshaw,RaymondFloyd,Lian-WeiZhang,JackNicklaus,NathanSmith,IanWoosnam,ToshiIzawa,GaryWolstenholme,FuzzyZoeller,GaryPlayer,CharlesCoody,TommyAaron,CurtisStrange,JeffreyLankford,D.J.Trahan,GeorgeBryan,MikeHarmon,BrianHarman,EdwardLoar,PhilBlackmar,JimmyWalker,VictorSchwamkrug,DavidLundstrom,BrianSmith,TyArmstrong,LonnyAlexander,KenKelley,JasonLaing,JamesH.McLean,AndrewMcLardy,BrentSchwarzrock,PatrickPrince,DavidChurch,MichaelPearson,TimThelen,BryantMacKellar,DerekSanders,KellyMitchum,JerryHaas,CharlesWarren,ScottPiercy,AndyCrain,JasonHartwick,JCAnderson,BradElder,JamieElliott,CameronDoan,MichaelHenderson,DanPohl,RodCurl,MichaelBradley,DougBarron,JoelEdwards,VanceVeazey,JimGallagher_Jr,GregKraft,RickFehr,DavidHowser,BrianWilson,ZebPatten,BobbyCochran,BrettPaquet,MattLoving,LorenPersonett,TimTims,DarrenFichardt,ThongchaiJaidee,BradAdamonis,MiguelAngelJimenez,DarrellKestner,CarlAlexander,CraigThomas,HeathWassem,RobertDeruntz,SpencerLevin,DavidRoesch,BillHaas,GeoffreySisk,TomKite,JoakimHaeggman,ChezReavie,JustinHicks,BubbaWatson,RobertGarrigus,BrendanJones,BrockMackenzie,ParkerMcLachlin,EricAxley,AndrewTschudin,CamiloVillegas,JohnElliott,ThomasLevet,ScottWeatherly,CharletonDechert,PeteJordan,DavidFaught,GabrielHjertstedt,JohnConnelly,JeffGove,JimmyGreen,LeifOlsen,PaytonOsborn,StephenSokol,JohnsonWagner,SteveGotsche,CaseyBourque,OscarAlvarez,JoeyMaxon,DavidDuval,DavidCarr,CharleyHoffman,TomScherrer,MattHendrix,BrandonKnaub,RickyTouma,DelPonchock,JimSchouller_Jr,GeorgeBradford,MikeSmall,JoeAffrunti,ChrisBotsford,DerekLamely,BrettMelton,RoyBiancalana,DannyMulhearn,HiroyukiFujita,JohnBermel,JamieRogers,BradleyHeaven,ChrisWinkel,KevinHaefner,JohnShawver,WayneLevi,DavidOgrin,TimConley,JimBenepe,BradBryant,MikeSullivan,DaveRummells,MikeSposa,PhilTataurangi,BillBritton,NolanHenke,AkioSadakata,JohnAdams,BradFabel,KennyKnox,WilliamLinkIV,LarryRinker,DanHalldorson,MacOGrady,SamRandolph,GaryHallberg,DennisColligan,MikeDonald,DavidBranham,KevinSavage,BobLohr,NickGilliam,NathanFritz,JerrySmith,JimSchuman,MarioTiziani,CharlieBrown,JonTurcott,AndyBarrett,SeanPacetti,MiguelRivera,MattSeppanen,JeffRoth,RyanWelborn,MikeAustin,SteveVecellio,BobAckerman,Jean-FrancoisRemesy,NickOHern,ChipSullivan,DavidHowell,S.K.Ho,ShingoKatayama,ScottDrummond,JeffCoston,RaphaelJacquelin,HaleIrwin,QuinnGriffing,RicardoGonzalez,ZaneZwemke,TimFleming,AlanSchulte,GraemeMcDowell,FrankBensel,SteveSchneiter,CaryHungate,BruceSmith,BobSowards,MikeNorthern,RonPhilo_Jr,DavidTentis,RobertThompson,MikeBaker_Jr,MikeSchuchart,SeanEnglish,MarkEvenson,BrettRumford,BarryLane,PeterSenior,PierreFulke,TimWilkinson,MattWeibring,BradleyHughes,JyotiRandhawa,EliZackheim,KevinGiancola,TomGleeton,UlyGrisette,FrankGraziosa,BobMucha,MarcelSiem,JasonCaron,JamieNeher,FrankVana,JefferyW.Martin,JimRutledge,DirkAyers,BradSutterfield,ScottDunlap,MarcGirouard,ClintJensen,RichardScott,StephenWoodard,JonMills,SteveScott,RichardZokol,DerekGillespie,RobMcMillan,DavidHearn,MarcBourgeois,CraigDoell,DavidMathis,JamesLepp,DarrenWallace,AdamMeyer,BrandelChamblee,JJWall,SeanFarren,JohnAber,RettCrowder,PaulGoydos,EdFryatt,MarcoRuiz,RyanMoore,ChrisStroud,BradHauer,JayOverton}
@ATTRIBUTE strokes	real
@ATTRIBUTE tournament	real

@DATA
HarrisonFrazar,65.5,1
DavisLoveIII,66.25,1
FrankLickliter,66.5,1
BrinyBaird,66.75,1
JerryKelly,66.75,1
JohnRiegger,67,1
StephenAmes,67.25,1
CraigBarlow,67.25,1
PaulAzinger,67.5,1
RetiefGoosen,67.5,1
JohnHuston,67.5,1
VijaySingh,67.5,1
OmarUresti,67.5,1
AaronBaddeley,67.75,1
CraigBowden,67.75,1
BrendenPappas,67.75,1
JesperParnevik,67.75,1
BoVanPelt,67.75,1
MichaelAllen,68,1
LukeDonald,68,1
JoeDurant,68,1
CarlosFranco,68,1
ShaunMicheel,68,1
CoreyPavin,68,1
ChrisRiley,68,1
StephenAllan,68.25,1
CameronBeckman,68.25,1
RobertGamez,68.25,1
CharlesHowellIII,68.25,1
JonathanByrd,68.5,1
BenCrane,68.5,1
MarkHensby,68.5,1
TimHerron,68.5,1
PatPerez,68.5,1
D.J.Brigman,68.75,1
BartBryant,68.75,1
FredFunk,68.75,1
BrianGay,68.75,1
DuffyWaldorf,68.75,1
TommyArmourIII,69,1
PatBates,69,1
JasonDufner,69,1
BrentGeiberger,69,1
JohnMaginnes,69,1
ShigekiMaruyama,69,1
KevinNa,69,1
OlinBrowne,69.25,1
RussCochran,69.25,1
PeterJacobsen,69.25,1
TedPurdy,69.25,1
HidetoTanihara,69.25,1
TjaartvanderWalt,69.25,1
DannyBriggs,69.5,1
JonathanKaye,69.5,1
KenichiKuboya,69.5,1
RodPampling,69.5,1
AndreStolz,69.5,1
BobBurns,69.75,1
KenDuke,69.75,1
DavidIshii,69.75,1
TomLehman,69.75,1
ScottSimpson,69.75,1
ArjunAtwal,70,1
WoodyAustin,70,1
JasonBohn,70,1
ToddFischer,70,1
LucasGlover,70,1
RichardS.Johnson,70,1
BobbyKalinowski,70,1
BradLardon,70,1
JoeOgilvie,70,1
RyanPalmer,70,1
JohnSenden,70,1
HidemichiTanaka,70,1
JeffBrehaut,70.25,1
HeathSlocum,70.75,1
LorenRoberts,71,1
TomCarter,71.5,1
JeffMaggert,70,1
StuartAppleby,70,1
ChadCampbell,70,1
JimFuryk,70,1
CraigPerks,70,1
KennyPerry,70,1
BrettQuigley,70,1
GrantWaite,70,1
GeneSauers,70,1
DarrenClarke,70,1
MichelleWie,70,1
DavidMorlandIV,70,1
BoydSummerhays,70,1
DeanWilson,70,1
DanielChopra,70,1
RichBarcelo,70,1
BenCurtis,70,1
JohnCook,70.5,1
ScottHoch,70.5,1
TomPernice_Jr,70.5,1
EstebanToledo,70.5,1
TrippIsenhour,70.5,1
BrianKortan,70.5,1
RogerTambellini,70.5,1
DavidBranshaw,70.5,1
KrisCox,70.5,1
ZachJohnson,70.5,1
RonCastillo_Jr,70.5,1
SteveFlesch,71,1
DavidPeoples,71,1
SpikeMcRoy,71,1
GregMeyer,71,1
VaughnTaylor,71,1
ChrisCouch,71,1
NotahBegayIII,71.5,1
ChrisSmith,71.5,1
CraigStadler,71.5,1
TimPetrovic,71.5,1
HunterMahan,71.5,1
DanOlsen,71.5,1
AdamScott,71.5,1
RolandThatcher,71.5,1
SkipKendall,72,1
MattKuchar,72,1
JeffSluman,72,1
BlaineMcCallister,72,1
WesShort,72,1
BrianBateman,72,1
PatrickSheehan,72,1
J.P.Hayes,72.5,1
KevinHayashi,72.5,1
TetsujiHiratsuka,72.5,1
ToddHamilton,72.5,1
HirofumiMiyase,72.5,1
YusakuMiyazato,72.5,1
JohnMorse,72.5,1
KevinMuncrief,73,1
ScottHend,73,1
CarlPettersson,73,1
JonathanOta,74,1
MyungJunPark,74,1
GuyBoros,74,1
TomByrum,75,1
DaveEichelberger,78.5,1
PhilMickelson,66,2
SkipKendall,66,2
JayHaas,66.2,2
JonathanKaye,66.4,2
JesperParnevik,66.8,2
KennyPerry,66.8,2
BenCrane,66.8,2
BernhardLanger,67,2
KentJones,67.2,2
J.L.Lewis,67.2,2
RodPampling,67.2,2
ChrisRiley,67.2,2
KirkTriplett,67.2,2
PaulAzinger,67.2,2
HarrisonFrazar,67.2,2
RoccoMediate,67.4,2
MarkOMeara,67.4,2
JeffSluman,67.4,2
SteveFlesch,67.4,2
ZachJohnson,67.6,2
GeoffOgilvy,67.6,2
LorenRoberts,67.6,2
ScottVerplank,67.6,2
DuffyWaldorf,67.6,2
StephenAmes,67.6,2
DeanWilson,67.8,2
JoeDurant,67.8,2
DannyEllis,67.8,2
RetiefGoosen,67.8,2
RichardS.Johnson,68,2
JerryKelly,68,2
JustinLeonard,68,2
JoeOgilvie,68,2
JohnRiegger,68,2
JohnDaly,68,2
LeeJanzen,68.2,2
StephenLeaney,68.2,2
TomPernice_Jr,68.2,2
RobertDamron,68.2,2
BobEstes,68.2,2
StevePate,68.4,2
JohnSenden,68.4,2
MikeWeir,68.4,2
BillyAndrade,68.4,2
NotahBegayIII,68.4,2
BobBurns,68.4,2
KevinNa,68.6,2
PaulStankowski,68.6,2
MarcoDawson,68.6,2
CarlPettersson,68.8,2
PeterJacobsen,68.8,2
FredrikJacobson,68.8,2
MichaelAllen,68.8,2
StewartCink,68.8,2
RobertGamez,68.8,2
NealLancaster,69,2
ScottMcCarron,69,2
ChadCampbell,69,2
SteveElkington,69,2
ToddFischer,69,2
DonnieHammond,69,2
SpikeMcRoy,69.2,2
KevinSutherland,69.2,2
GrantWaite,69.2,2
JohnHuston,69.2,2
MarkCalcavecchia,69.2,2
ChrisCouch,69.2,2
MathiasGronberg,69.2,2
Per-UlrikJohansson,69.4,2
CoreyPavin,69.4,2
TimPetrovic,69.4,2
J.J.Henry,69.4,2
PatrickSheehan,69.6,2
SteveLowery,69.8,2
GlenHnatiuk,69.8,2
BrendenPappas,70,2
CameronBeckman,70,2
IanLeggatt,70.2,2
PatrickMoore,70.6,2
MarkHensby,69.5,2
StephenAllan,69.5,2
GeneSauers,69.5,2
EstebanToledo,69.5,2
JayWilliamson,69.5,2
DavidBranshaw,69.5,2
DanForsman,69.5,2
TimHerron,69.75,2
ChrisSmith,69.75,2
CraigBarlow,69.75,2
JayDelsing,69.75,2
KeithFergus,69.75,2
CarlosFranco,69.75,2
MattGogel,69.75,2
BrinyBaird,70,2
DavidMorlandIV,70,2
MarkBrooks,70,2
DanielChopra,70,2
JohnCook,70,2
BrentGeiberger,70,2
DudleyHart,70,2
BillyMayfair,70.25,2
BoVanPelt,70.25,2
J.P.Hayes,70.5,2
BrandtJobe,70.5,2
RyanPalmer,70.5,2
DavidPeoples,70.5,2
HeathSlocum,70.5,2
RichBeem,70.5,2
JeffBrehaut,70.5,2
GlenDay,70.75,2
ChrisDiMarco,70.75,2
CharlesHowellIII,71,2
SteveStricker,71,2
HalSutton,71,2
FredFunk,71,2
JoeySindelar,71.25,2
OlinBrowne,71.25,2
PatBates,71.75,2
PatPerez,72,2
DavidGossett,72,2
CliffKresge,72.25,2
TommyArmourIII,72.25,2
TomCarter,73.5,2
GeoffreyDean,73.5,2
EdFiori,73.75,2
MichaelBeard,74,2
MarkHayes,75.75,2
JonathanKaye,66.5,3
ChrisDiMarco,67,3
VijaySingh,67.25,3
SteveFlesch,67.25,3
DuffyWaldorf,67.75,3
MikeWeir,67.75,3
PhilMickelson,68,3
ScottVerplank,68,3
JustinLeonard,68.25,3
KevinSutherland,68.25,3
SergioGarcia,68.25,3
RetiefGoosen,68.25,3
FredrikJacobson,68.25,3
RodPampling,68.5,3
BrendenPappas,68.5,3
HeathSlocum,68.5,3
BoVanPelt,68.5,3
RobertAllenby,68.5,3
StephenAmes,68.5,3
RickyBarnes,68.5,3
AlexCejka,68.5,3
StewartCink,68.5,3
TomLehman,68.75,3
BobTway,69,3
TimHerron,69,3
CharlesHowellIII,69,3
BernhardLanger,69.25,3
JeffSluman,69.25,3
MarcoDawson,69.25,3
BobEstes,69.25,3
GlenHnatiuk,69.25,3
BrandtJobe,69.25,3
KentJones,69.5,3
ChrisRiley,69.5,3
PaulAzinger,69.5,3
MarkCalcavecchia,69.5,3
GlenDay,69.5,3
JayHaas,69.5,3
ChadCampbell,69.75,3
BrentGeiberger,69.75,3
LeeJanzen,69.75,3
MarkOMeara,70,3
JoeySindelar,70,3
TomByrum,70,3
JimCarter,70,3
ArronOberholser,70.25,3
CarlPettersson,70.25,3
J.P.Hayes,70.25,3
JesperParnevik,70.5,3
TimPetrovic,70.5,3
PaulStankowski,70.5,3
SteveElkington,70.5,3
CarlosFranco,70.5,3
SteveLowery,70.75,3
JohnSenden,70.75,3
NotahBegayIII,70.75,3
JohnDaly,70.75,3
BrinyBaird,71,3
ScottMcCarron,71.25,3
TomPernice_Jr,71.25,3
JohnRiegger,71.25,3
JeffBrehaut,71.25,3
ShigekiMaruyama,71.5,3
JohnRollins,71.5,3
SteveStricker,71.5,3
EstebanToledo,71.5,3
TommyArmourIII,71.75,3
ChrisSmith,72.5,3
FredFunk,72.5,3
DavidGossett,72.75,3
StephenAllan,71.5,3
WoodyAustin,71.5,3
PatBates,71.5,3
RichBeem,71.5,3
K.J.Choi,71.5,3
FredCouples,71.5,3
BenCrane,71.5,3
RobertGamez,71.5,3
DudleyHart,71.5,3
J.J.Henry,71.5,3
Per-UlrikJohansson,71.5,3
RichardS.Johnson,71.5,3
SkipKendall,71.5,3
MattKuchar,71.5,3
StephenLeaney,71.5,3
SpikeMcRoy,71.5,3
DavidPeoples,71.5,3
CraigPerks,71.5,3
KirkTriplett,71.5,3
JayWilliamson,71.5,3
